"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
0,1,2,3,0,1,1.4142135623731,2.23606797749979,3.16227766016838,1,2,2.23606797749979,2.82842712474619,3.60555127546399,2,3,3.16227766016838,3.60555127546399,4.24264068711928,3,0,1,2,3,0
1,0,1,2,1,1.4142135623731,1,1.4142135623731,2.23606797749979,1.4142135623731,2.23606797749979,2,2.23606797749979,2.82842712474619,2.23606797749979,3.16227766016838,3,3.16227766016838,3.60555127546399,3.16227766016838,1,0,1,2,1
2,1,0,1,2,2.23606797749979,1.4142135623731,1,1.4142135623731,2.23606797749979,2.82842712474619,2.23606797749979,2,2.23606797749979,2.82842712474619,3.60555127546399,3.16227766016838,3,3.16227766016838,3.60555127546399,2,1,0,1,2
3,2,1,0,3,3.16227766016838,2.23606797749979,1.4142135623731,1,3.16227766016838,3.60555127546399,2.82842712474619,2.23606797749979,2,3.60555127546399,4.24264068711928,3.60555127546399,3.16227766016838,3,4.24264068711928,3,2,1,0,3
0,1,2,3,0,1,1.4142135623731,2.23606797749979,3.16227766016838,1,2,2.23606797749979,2.82842712474619,3.60555127546399,2,3,3.16227766016838,3.60555127546399,4.24264068711928,3,0,1,2,3,0
1,1.4142135623731,2.23606797749979,3.16227766016838,1,0,1,2,3,0,1,1.4142135623731,2.23606797749979,3.16227766016838,1,2,2.23606797749979,2.82842712474619,3.60555127546399,2,1,1.4142135623731,2.23606797749979,3.16227766016838,1
1.4142135623731,1,1.4142135623731,2.23606797749979,1.4142135623731,1,0,1,2,1,1.4142135623731,1,1.4142135623731,2.23606797749979,1.4142135623731,2.23606797749979,2,2.23606797749979,2.82842712474619,2.23606797749979,1.4142135623731,1,1.4142135623731,2.23606797749979,1.4142135623731
2.23606797749979,1.4142135623731,1,1.4142135623731,2.23606797749979,2,1,0,1,2,2.23606797749979,1.4142135623731,1,1.4142135623731,2.23606797749979,2.82842712474619,2.23606797749979,2,2.23606797749979,2.82842712474619,2.23606797749979,1.4142135623731,1,1.4142135623731,2.23606797749979
3.16227766016838,2.23606797749979,1.4142135623731,1,3.16227766016838,3,2,1,0,3,3.16227766016838,2.23606797749979,1.4142135623731,1,3.16227766016838,3.60555127546399,2.82842712474619,2.23606797749979,2,3.60555127546399,3.16227766016838,2.23606797749979,1.4142135623731,1,3.16227766016838
1,1.4142135623731,2.23606797749979,3.16227766016838,1,0,1,2,3,0,1,1.4142135623731,2.23606797749979,3.16227766016838,1,2,2.23606797749979,2.82842712474619,3.60555127546399,2,1,1.4142135623731,2.23606797749979,3.16227766016838,1
2,2.23606797749979,2.82842712474619,3.60555127546399,2,1,1.4142135623731,2.23606797749979,3.16227766016838,1,0,1,2,3,0,1,1.4142135623731,2.23606797749979,3.16227766016838,1,2,2.23606797749979,2.82842712474619,3.60555127546399,2
2.23606797749979,2,2.23606797749979,2.82842712474619,2.23606797749979,1.4142135623731,1,1.4142135623731,2.23606797749979,1.4142135623731,1,0,1,2,1,1.4142135623731,1,1.4142135623731,2.23606797749979,1.4142135623731,2.23606797749979,2,2.23606797749979,2.82842712474619,2.23606797749979
2.82842712474619,2.23606797749979,2,2.23606797749979,2.82842712474619,2.23606797749979,1.4142135623731,1,1.4142135623731,2.23606797749979,2,1,0,1,2,2.23606797749979,1.4142135623731,1,1.4142135623731,2.23606797749979,2.82842712474619,2.23606797749979,2,2.23606797749979,2.82842712474619
3.60555127546399,2.82842712474619,2.23606797749979,2,3.60555127546399,3.16227766016838,2.23606797749979,1.4142135623731,1,3.16227766016838,3,2,1,0,3,3.16227766016838,2.23606797749979,1.4142135623731,1,3.16227766016838,3.60555127546399,2.82842712474619,2.23606797749979,2,3.60555127546399
2,2.23606797749979,2.82842712474619,3.60555127546399,2,1,1.4142135623731,2.23606797749979,3.16227766016838,1,0,1,2,3,0,1,1.4142135623731,2.23606797749979,3.16227766016838,1,2,2.23606797749979,2.82842712474619,3.60555127546399,2
3,3.16227766016838,3.60555127546399,4.24264068711928,3,2,2.23606797749979,2.82842712474619,3.60555127546399,2,1,1.4142135623731,2.23606797749979,3.16227766016838,1,0,1,2,3,0,3,3.16227766016838,3.60555127546399,4.24264068711928,3
3.16227766016838,3,3.16227766016838,3.60555127546399,3.16227766016838,2.23606797749979,2,2.23606797749979,2.82842712474619,2.23606797749979,1.4142135623731,1,1.4142135623731,2.23606797749979,1.4142135623731,1,0,1,2,1,3.16227766016838,3,3.16227766016838,3.60555127546399,3.16227766016838
3.60555127546399,3.16227766016838,3,3.16227766016838,3.60555127546399,2.82842712474619,2.23606797749979,2,2.23606797749979,2.82842712474619,2.23606797749979,1.4142135623731,1,1.4142135623731,2.23606797749979,2,1,0,1,2,3.60555127546399,3.16227766016838,3,3.16227766016838,3.60555127546399
4.24264068711928,3.60555127546399,3.16227766016838,3,4.24264068711928,3.60555127546399,2.82842712474619,2.23606797749979,2,3.60555127546399,3.16227766016838,2.23606797749979,1.4142135623731,1,3.16227766016838,3,2,1,0,3,4.24264068711928,3.60555127546399,3.16227766016838,3,4.24264068711928
3,3.16227766016838,3.60555127546399,4.24264068711928,3,2,2.23606797749979,2.82842712474619,3.60555127546399,2,1,1.4142135623731,2.23606797749979,3.16227766016838,1,0,1,2,3,0,3,3.16227766016838,3.60555127546399,4.24264068711928,3
0,1,2,3,0,1,1.4142135623731,2.23606797749979,3.16227766016838,1,2,2.23606797749979,2.82842712474619,3.60555127546399,2,3,3.16227766016838,3.60555127546399,4.24264068711928,3,0,1,2,3,0
1,0,1,2,1,1.4142135623731,1,1.4142135623731,2.23606797749979,1.4142135623731,2.23606797749979,2,2.23606797749979,2.82842712474619,2.23606797749979,3.16227766016838,3,3.16227766016838,3.60555127546399,3.16227766016838,1,0,1,2,1
2,1,0,1,2,2.23606797749979,1.4142135623731,1,1.4142135623731,2.23606797749979,2.82842712474619,2.23606797749979,2,2.23606797749979,2.82842712474619,3.60555127546399,3.16227766016838,3,3.16227766016838,3.60555127546399,2,1,0,1,2
3,2,1,0,3,3.16227766016838,2.23606797749979,1.4142135623731,1,3.16227766016838,3.60555127546399,2.82842712474619,2.23606797749979,2,3.60555127546399,4.24264068711928,3.60555127546399,3.16227766016838,3,4.24264068711928,3,2,1,0,3
0,1,2,3,0,1,1.4142135623731,2.23606797749979,3.16227766016838,1,2,2.23606797749979,2.82842712474619,3.60555127546399,2,3,3.16227766016838,3.60555127546399,4.24264068711928,3,0,1,2,3,0
